wpi_number,main_port_name,alternate_port_name,unlocode,country_code,latitude,longitude
61110,Mombetsu Ko,Monbetu Ko,,JP,44.350000000000001,143.349999999999994
61120,Abashiri Ko,,JPABA,JP,44.016666999999998,144.283332999999999
61130,Nemuro Ko,,JPNEM,JP,43.333333000000003,145.583333000000010
61140,Hanasaki Ko,,JPHNK,JP,43.283332999999999,145.583333000000010
61160,Kushiro Ko,Kusiro,JPKUH,JP,42.983333000000002,144.366667000000007
61165,Tomakomai Ko,,JPTMK,JP,42.633333000000000,141.633332999999993
61170,Muroran Ko,,JPMUR,JP,42.350000000000001,140.966667000000001
61175,Tokachi,Hiroo,JPTOK,JP,42.250000000000000,143.300000000000011
61180,Mori,,JPMOR,JP,42.116667000000000,140.583333000000010
61190,Hakodate Ko,,JPHKD,JP,41.783332999999999,140.716667000000001
61205,Esasi Ko,Esasi,JPESI,JP,41.866667000000000,140.116667000000007
61230,Otaru Ko,,JPOTR,JP,43.200000000000003,141.016667000000012
61232,Isikari Wan,,,JP,43.233333000000002,141.366667000000007
61245,Ishikari Bay New Port,Ishikariwan Ko,JPISI,JP,43.216667000000001,141.283332999999999
61250,Rumoi Ko,,JPRMI,JP,43.950000000000003,141.633332999999993
61260,Wakkanai,,JPWKJ,JP,43.416666999999997,141.683333000000005
61270,Aomori Ko,,JPAOJ,JP,40.833333000000003,140.750000000000000
61277,Noshiro Ko,Nosiro Ko,JPNSR,JP,40.216667000000001,140.000000000000000
61280,Hachinohe Ko,,JPHHE,JP,40.533332999999999,141.550000000000011
61290,Miyako,Miyako Ko,JPMYK,JP,39.633333000000000,141.983332999999988
61310,Kamaishi Ko,,JPKIS,JP,39.266666999999998,141.900000000000006
61320,Ofunato,,JPOFO,JP,39.049999999999997,141.733332999999988
61325,Kesennuma Ko,,JPKSN,JP,38.866667000000000,141.599999999999994
61330,Onagawa,,JPONG,JP,38.450000000000003,141.449999999999989
61340,Ishinomaki Ko,Isinomaki,JPISM,JP,38.399999999999999,141.316666999999995
61350,Sendai-Shiogama,Siogama,JPSGM,JP,38.316667000000002,141.033332999999999
61353,Soma,,JPSOM,JP,37.833333000000003,140.949999999999989
61355,Onahama Ko,Iwaki,JPONA,JP,36.933332999999998,140.900000000000006
61356,Hitachi,Hitaki Ko,JPHTC,JP,36.500000000000000,140.633332999999993
61357,Kashima Ko,,JPKSM,JP,35.933332999999998,140.699999999999989
61360,Choshi,Tyosi,JPCHO,JP,35.733333000000002,140.849999999999994
61370,Tateyama Ko,,JPTTY,JP,35.000000000000000,139.800000000000011
61372,Kisarazu Ko,,JPKZU,JP,35.366667000000000,139.883332999999993
61375,Chiba Ko,Samukawa; Tiba,JPCHB,JP,35.583333000000003,140.066666999999995
61378,Katsunan Ko,,,JP,35.666666999999997,139.983332999999988
61379,Funabashi,,JPFNB,JP,35.666666999999997,139.949999999999989
61380,Tokyo Ko,,JPTYO,JP,35.666666999999997,139.750000000000000
61385,Kawasaki Ko,,JPKWS,JP,35.500000000000000,139.766667000000012
61390,Yokohama Ko,,JPYOK,JP,35.450000000000003,139.583333000000010
61400,Yokosuka Ko,,JPYOS,JP,35.283332999999999,139.666666999999990
61410,Uraga Ko,,JPURG,JP,35.233333000000002,139.716667000000001
61415,Tagonoura Ko,,JPTGO,JP,35.133333000000000,138.699999999999989
61416,Atsumi,,JPATM,JP,34.666666999999997,137.066666999999995
61420,Shimoda Ko,,JPSMD,JP,34.666666999999997,138.949999999999989
61425,Omaezaki Ko,,JPOMZ,JP,34.600000000000001,138.233332999999988
